Date,Open,High,Low,Close,Volume,Adj Close
12/29/2016,240.75,241.070007,236.639999,238.179993,2619000,237.55906
12/28/2016,243.690002,244.5,240.440002,240.649994,3053000,240.022622
12/27/2016,241.949997,242.589996,240.399994,241.559998,1998200,240.930254
12/23/2016,239.539993,241.899994,238.910004,240.970001,2187500,240.341795
12/22/2016,241.229996,242.860001,239.550003,240.119995,2636500,239.494005
12/21/2016,242.240005,242.399994,240.080002,241.440002,3277800,240.810571
12/20/2016,240.520004,243.649994,240.229996,243.089996,4487700,242.456264
12/19/2016,238.339996,239.740005,236.259995,239.070007,3743300,238.446755
12/16/2016,242.800003,243.190002,238.399994,238.899994,6876400,238.277184
12/15/2016,242.490005,245.570007,241.619995,243,4829700,242.366502
12/14/2016,235.669998,243.119995,235.369995,239.929993,6172400,239.304498
12/13/2016,239,240.179993,235.509995,238.550003,4680500,237.928106
12/12/2016,240.5,242.830002,236.369995,237.169998,5022000,236.551699
12/9/2016,240.610001,242,238.880005,241.850006,5456000,241.219506
12/8/2016,236.880005,242.419998,236,241.449997,7343700,240.82054
12/7/2016,230.399994,236.089996,230.399994,235.559998,6595200,234.945895
12/6/2016,230.179993,232.669998,227.899994,231.380005,5259300,230.7768
12/5/2016,225.520004,229.199997,225.240005,228.550003,4599300,227.954176
12/2/2016,226,226.25,221.220001,223.360001,5297400,222.777704
12/1/2016,220.929993,227.160004,220.350006,226.630005,7606500,226.039183
11/30/2016,215.199997,220.770004,214.970001,219.289993,6507900,218.718307
11/29/2016,209.990005,212.919998,209.919998,211.75,2577600,211.19797
11/28/2016,210,211.759995,209.600006,210.350006,3297400,209.15332
11/25/2016,211.360001,212.75,211,211.380005,1974000,210.177459
11/23/2016,211.5,213.410004,209.369995,212.309998,3717400,211.102161
11/22/2016,211.360001,211.949997,209.889999,211.110001,2945700,209.908991
11/21/2016,211.460007,211.690002,209.179993,211.080002,2860200,209.879162
11/18/2016,209.869995,212.070007,209.720001,210.350006,4278200,209.15332
11/17/2016,206.259995,209.690002,205.669998,209.630005,3572400,208.437415
11/16/2016,207.350006,208.080002,204.830002,206.259995,5276200,205.086576
11/15/2016,206.559998,211.199997,205.169998,211.190002,4893800,209.988537
11/14/2016,204.149994,211.770004,204.149994,209.179993,8248100,207.989962
11/11/2016,198.25,205,198.25,203.940002,6290200,202.779783
11/10/2016,194.529999,204.669998,194,200.869995,11345400,199.727241
11/9/2016,185,193.539993,183.449997,192.630005,7823800,191.534128
11/8/2016,180.110001,182.679993,178.460007,181.919998,2646200,180.885051
11/7/2016,179,181.5,179,181.479996,3338800,180.447552
11/4/2016,176.330002,177.339996,174.729996,175.919998,1846500,174.919185
11/3/2016,176.770004,177.970001,176.210007,176.210007,1972700,175.207544
11/2/2016,177.070007,177.5,176.070007,176.580002,2104800,175.575434
11/1/2016,179,179.179993,176.610001,178.059998,2900600,177.04701
10/31/2016,177.679993,178.5,177.229996,178.240005,1828200,177.225994
10/28/2016,178.509995,178.509995,175.460007,177.139999,2042800,176.132246
10/27/2016,178.190002,178.850006,176.570007,177.75,3021900,176.738776
10/26/2016,174.789993,177.899994,173.929993,177.070007,2533800,176.062652
10/25/2016,175.039993,175.960007,174.639999,175.550003,2423300,174.551295
10/24/2016,175.5,175.789993,174.350006,175.119995,1943200,174.123733
